"","pref","Prefecture","Party","Year","Votes","Vote.Total","Actual.Voters","Eligible.Voters","vshare"
"1135",47,"Okinawa",20,2009,18972,669841,692007,1066701,0.028323139371881
"1136",47,"Okinawa",24,2009,20473,669841,692007,1066701,0.030563969658471
"1137",47,"Okinawa",4,2009,53603,669841,692007,1066701,0.0800234682559
"1138",47,"Okinawa",5,2009,74006,669841,692007,1066701,0.110482935502604
"1139",47,"Okinawa",1,2009,118365,669841,692007,1066701,0.176706113838956
"1140",47,"Okinawa",3,2009,120095,669841,692007,1066701,0.179288816301182
"1141",47,"Okinawa",2,2009,258152,669841,692007,1066701,0.385392951461616
"1142",27,"Osaka",21,2009,52398,4636015,4728812,7082281,0.011302379306366
"1143",27,"Osaka",20,2009,60137,4636015,4728812,7082281,0.012971700911235
"1144",27,"Osaka",98,2009,68884,4636015,4728812,7082281,0.014858450630552
"1145",27,"Osaka",5,2009,150663,4636015,4728812,7082281,0.032498384927573
"1146",27,"Osaka",24,2009,205421,4636015,4728812,7082281,0.044309822120938
"1147",27,"Osaka",4,2009,468144,4636015,4728812,7082281,0.100979828581228
"1148",27,"Osaka",3,2009,704839,4636015,4728812,7082281,0.152035530514893
"1149",27,"Osaka",1,2009,994098,4636015,4728812,7082281,0.214429418369009
"1150",27,"Osaka",2,2009,1931431,4636015,4728812,7082281,0.416614484638208
"1151",41,"Saga",98,2009,3590,498803,510844,688948,0.007197230169025
"1152",41,"Saga",20,2009,7980,498803,510844,688948,0.015998299930033
"1153",41,"Saga",24,2009,19697,498803,510844,688948,0.039488535554117
"1154",41,"Saga",4,2009,19745,498803,510844,688948,0.039584765929636
"1155",41,"Saga",5,2009,23039,498803,510844,688948,0.046188575449626
"1156",41,"Saga",3,2009,60386,498803,510844,688948,0.121061822001872
"1157",41,"Saga",1,2009,161683,498803,510844,688948,0.324141995938276
"1158",41,"Saga",2,2009,202683,498803,510844,688948,0.406338775027416
"1159",11,"Saitama",98,2009,20806,3773024,3836897,5791895,0.005514409661852
"1160",11,"Saitama",21,2009,42675,3773024,3836897,5791895,0.011310556201074
"1161",11,"Saitama",20,2009,52964,3773024,3836897,5791895,0.014037546540918
"1162",11,"Saitama",5,2009,145528,3773024,3836897,5791895,0.038570653141883
"1163",11,"Saitama",24,2009,224052,3773024,3836897,5791895,0.05938260663065
"1164",11,"Saitama",4,2009,301310,3773024,3836897,5791895,0.079859020244769
"1165",11,"Saitama",3,2009,453356,3773024,3836897,5791895,0.120157200166233
"1166",11,"Saitama",1,2009,889870,3773024,3836897,5791895,0.2358506068342
"1167",11,"Saitama",2,2009,1642463,3773024,3836897,5791895,0.435317400578422
"1168",25,"Shiga",21,2009,6549,762794,777636,1100847,0.008585542099178
"1169",25,"Shiga",98,2009,9131,762794,777636,1100847,0.011970466469322
"1170",25,"Shiga",20,2009,11306,762794,777636,1100847,0.014821826076241
"1171",25,"Shiga",5,2009,27105,762794,777636,1100847,0.035533840066912
"1172",25,"Shiga",24,2009,30868,762794,777636,1100847,0.040467019929365
"1173",25,"Shiga",3,2009,59471,762794,777636,1100847,0.077964692957732
"1174",25,"Shiga",4,2009,67402,762794,777636,1100847,0.088361995505995
"1175",25,"Shiga",1,2009,210628,762794,777636,1100847,0.276126975303948
"1176",25,"Shiga",2,2009,340334,762794,777636,1100847,0.446167641591308
"1177",32,"Shimane",98,2009,2954,454173,466381,595321,0.006504129483699
"1178",32,"Shimane",5,2009,17243,454173,466381,595321,0.037965709102038
"1179",32,"Shimane",4,2009,25850,454173,466381,595321,0.056916637492762
"1180",32,"Shimane",20,2009,46063,454173,466381,595321,0.101421704945032
"1181",32,"Shimane",3,2009,52780,454173,466381,595321,0.116211223476517
"1182",32,"Shimane",2,2009,138007,454173,466381,595321,0.30386438647828
"1183",32,"Shimane",1,2009,171276,454173,466381,595321,0.377116209021672
"1184",22,"Shizuoka",98,2009,12536,2123560,2177937,3076497,0.005903294467781
"1185",22,"Shizuoka",21,2009,15726,2123560,2177937,3076497,0.007405488896005
"1186",22,"Shizuoka",20,2009,28919,2123560,2177937,3076497,0.013618169488971
"1187",22,"Shizuoka",5,2009,70356,2123560,2177937,3076497,0.033131157113526
"1188",22,"Shizuoka",4,2009,116496,2123560,2177937,3076497,0.054858821978188
"1189",22,"Shizuoka",24,2009,134030,2123560,2177937,3076497,0.063115711352634
"1190",22,"Shizuoka",3,2009,220810,2123560,2177937,3076497,0.103981050688467
"1191",22,"Shizuoka",1,2009,591108,2123560,2177937,3076497,0.278357098457308
"1192",22,"Shizuoka",2,2009,933579,2123560,2177937,3076497,0.439629207557121
"1193",9,"Tochigi",21,2009,4994,1073651,1097207,1629543,0.004651418384559
"1194",9,"Tochigi",98,2009,5925,1073651,1097207,1629543,0.005518553049361
"1195",9,"Tochigi",20,2009,10161,1073651,1097207,1629543,0.009463969204145
"1196",9,"Tochigi",5,2009,24579,1073651,1097207,1629543,0.022892913991604
"1197",9,"Tochigi",4,2009,33896,1073651,1097207,1629543,0.03157078044914
"1198",9,"Tochigi",3,2009,98287,1073651,1097207,1629543,0.09154464532702
"1199",9,"Tochigi",24,2009,223986,1073651,1097207,1629543,0.208620864694393
"1200",9,"Tochigi",1,2009,257297,1073651,1097207,1629543,0.239646775348787
"1201",9,"Tochigi",2,2009,414526,1073651,1097207,1629543,0.38609007955099
"1202",36,"Tokushima",98,2009,4934,447555,462763,660385,0.011024343376792
"1203",36,"Tokushima",5,2009,11759,447555,462763,660385,0.026273865781859
"1204",36,"Tokushima",4,2009,29618,447555,462763,660385,0.06617734133235
"1205",36,"Tokushima",3,2009,52541,447555,462763,660385,0.117395627353063
"1206",36,"Tokushima",1,2009,141081,447555,462763,660385,0.315226061601367
"1207",36,"Tokushima",2,2009,207622,447555,462763,660385,0.463902760554569
"1208",13,"Tokyo",98,2009,35667,6927467,7034087,10601391,0.005148635136046
"1209",13,"Tokyo",20,2009,86046,6927467,7034087,10601391,0.012420990240733
"1210",13,"Tokyo",21,2009,100381,6927467,7034087,10601391,0.014490289163413
"1211",13,"Tokyo",5,2009,299032,6927467,7034087,10601391,0.043166138503439
"1212",13,"Tokyo",24,2009,419903,6927467,7034087,10601391,0.060614218732475
"1213",13,"Tokyo",4,2009,665462,6927467,7034087,10601391,0.096061374236788
"1214",13,"Tokyo",3,2009,717199,6927467,7034087,10601391,0.10352976058926
"1215",13,"Tokyo",1,2009,1764696,6927467,7034087,10601391,0.254738997674042
"1216",13,"Tokyo",2,2009,2839081,6927467,7034087,10601391,0.409829595723805
"1217",31,"Tottori",98,2009,3049,355368,366476,486870,0.008579838364737
"1218",31,"Tottori",20,2009,11344,355368,366476,486870,0.031921838769951
"1219",31,"Tottori",5,2009,12968,355368,366476,486870,0.036491749397807
"1220",31,"Tottori",4,2009,20501,355368,366476,486870,0.057689493707931
"1221",31,"Tottori",3,2009,52023,355368,366476,486870,0.14639190923212
"1222",31,"Tottori",1,2009,117168,355368,366476,486870,0.329708921456068
"1223",31,"Tottori",2,2009,138315,355368,366476,486870,0.389216249071385
"1224",16,"Toyama",98,2009,4522,648299,667283,905002,0.006975176577474
"1225",16,"Toyama",21,2009,6011,648299,667283,905002,0.009271956304113
"1226",16,"Toyama",4,2009,23196,648299,667283,905002,0.035779786795907
"1227",16,"Toyama",3,2009,38974,648299,667283,905002,0.060117322408333
"1228",16,"Toyama",5,2009,39179,648299,667283,905002,0.060433534526507
"1229",16,"Toyama",20,2009,107042,648299,667283,905002,0.165112085627157
"1230",16,"Toyama",2,2009,214062,648299,667283,905002,0.33019023629529
"1231",16,"Toyama",1,2009,215313,648299,667283,905002,0.332119901465219
"1232",30,"Wakayama",21,2009,3818,590129,609965,850860,0.00646977186344
"1233",30,"Wakayama",98,2009,5986,590129,609965,850860,0.010143544885949
"1234",30,"Wakayama",20,2009,12339,590129,609965,850860,0.020908987695911
"1235",30,"Wakayama",5,2009,16901,590129,609965,850860,0.028639500854898
"1236",30,"Wakayama",24,2009,18988,590129,609965,850860,0.032176015752488
"1237",30,"Wakayama",4,2009,42851,590129,609965,850860,0.072612937171364
"1238",30,"Wakayama",3,2009,92413,590129,609965,850860,0.156597964173935
"1239",30,"Wakayama",1,2009,153327,590129,609965,850860,0.259819463202113
"1240",30,"Wakayama",2,2009,243506,590129,609965,850860,0.412631814399902
"1241",6,"Yamagata",98,2009,5173,703736,725815,969259,0.007350767901599
"1242",6,"Yamagata",24,2009,32102,703736,725815,969259,0.045616538019939
"1243",6,"Yamagata",4,2009,36973,703736,725815,969259,0.052538167721987
"1244",6,"Yamagata",5,2009,51270,703736,725815,969259,0.072854024804756
"1245",6,"Yamagata",3,2009,68167,703736,725815,969259,0.096864449168438
"1246",6,"Yamagata",1,2009,219146,703736,725815,969259,0.31140370820876
"1247",6,"Yamagata",2,2009,290905,703736,725815,969259,0.41337234417452
"1248",35,"Yamaguchi",98,2009,6888,849561,870526,1212508,0.008107716809034
"1249",35,"Yamaguchi",5,2009,23535,849561,870526,1212508,0.027702542842715
"1250",35,"Yamaguchi",20,2009,25282,849561,870526,1212508,0.029758899007841
"1251",35,"Yamaguchi",4,2009,50773,849561,870526,1212508,0.059763807425247
"1252",35,"Yamaguchi",3,2009,107920,849561,870526,1212508,0.127030313302988
"1253",35,"Yamaguchi",1,2009,316957,849561,870526,1212508,0.373083274773677
"1254",35,"Yamaguchi",2,2009,318206,849561,870526,1212508,0.374553445838498
"1255",19,"Yamanashi",98,2009,3197,507263,521400,701958,0.006302450602547
"1256",19,"Yamanashi",21,2009,3863,507263,521400,701958,0.007615379004579
"1257",19,"Yamanashi",20,2009,8325,507263,521400,701958,0.016411605025401
"1258",19,"Yamanashi",24,2009,21276,507263,521400,701958,0.041942739762214
"1259",19,"Yamanashi",5,2009,23701,507263,521400,701958,0.046723297382226
"1260",19,"Yamanashi",4,2009,32568,507263,521400,701958,0.064203381677749
"1261",19,"Yamanashi",3,2009,52523,507263,521400,701958,0.103541949639536
"1262",19,"Yamanashi",1,2009,136873,507263,521400,701958,0.269826500257263
"1263",19,"Yamanashi",2,2009,224937,507263,521400,701958,0.443432696648484
"1264",23,"Aichi",98,2012,15228,3381297,3466406,5868215,0.00450359728826
"1265",23,"Aichi",5,2012,71360,3381297,3466406,5868215,0.021104327718033
"1266",23,"Aichi",4,2012,193332,3381297,3466406,5868215,0.057176876210519
"1267",23,"Aichi",31,2012,310760,3381297,3466406,5868215,0.091905561682396
"1268",23,"Aichi",24,2012,321812,3381297,3466406,5868215,0.095174129927066
"1269",23,"Aichi",3,2012,365873,3381297,3466406,5868215,0.108204928463841
"1270",23,"Aichi",30,2012,594363,3381297,3466406,5868215,0.175779589902928
"1271",23,"Aichi",2,2012,626425,3381297,3466406,5868215,0.185261750150904
"1272",23,"Aichi",1,2012,882144,3381297,3466406,5868215,0.260889238656054
"1273",5,"Akita",98,2012,6716,557396,575014,909604,0.012048884455576
"1274",5,"Akita",5,2012,20969,557396,575014,909604,0.037619573875665
"1275",5,"Akita",4,2012,26694,557396,575014,909604,0.04789054819195
"1276",5,"Akita",24,2012,31415,557396,575014,909604,0.056360289632505
"1277",5,"Akita",31,2012,33321,557396,575014,909604,0.059779761605753
"1278",5,"Akita",3,2012,45577,557396,575014,909604,0.081767719897524
"1279",5,"Akita",2,2012,101452,557396,575014,909604,0.182010635167816
"1280",5,"Akita",30,2012,109715,557396,575014,909604,0.1968349252596
"1281",5,"Akita",1,2012,181537,557396,575014,909604,0.325687661913613
"1282",2,"Aomori",98,2012,7769,597828,619955,1144420,0.012995376596613
"1283",2,"Aomori",5,2012,14917,597828,619955,1144420,0.024951992880896
"1284",2,"Aomori",24,2012,31953,597828,619955,1144420,0.053448483510307
"1285",2,"Aomori",4,2012,38086,597828,619955,1144420,0.063707287045772
"1286",2,"Aomori",31,2012,48070,597828,619955,1144420,0.080407742695223
"1287",2,"Aomori",3,2012,59787,597828,619955,1144420,0.100007025432064
"1288",2,"Aomori",30,2012,97592,597828,619955,1144420,0.163244277618312
"1289",2,"Aomori",2,2012,105231,597828,619955,1144420,0.176022200365322
"1290",2,"Aomori",1,2012,194423,597828,619955,1144420,0.32521561385549
"1291",12,"Chiba",98,2012,7494,2900941,3366805,5865464,0.002583299694823
"1292",12,"Chiba",5,2012,48958,2900941,3366805,5865464,0.016876592802129
"1293",12,"Chiba",4,2012,162004,2900941,3366805,5865464,0.055845327429962
"1294",12,"Chiba",31,2012,190225,2900941,3366805,5865464,0.065573550099778
"1295",12,"Chiba",24,2012,307297,2900941,3366805,5865464,0.105930110264221
"1296",12,"Chiba",3,2012,330877,2900941,3366805,5865464,0.114058507222312
"1297",12,"Chiba",2,2012,539504,2900941,3366805,5865464,0.185975516220426
"1298",12,"Chiba",30,2012,548110,2900941,3366805,5865464,0.188942139809117
"1299",12,"Chiba",1,2012,766472,2900941,3366805,5865464,0.264214956457232
"1300",38,"Ehime",98,2012,2414,689126,705635,1184972,0.003502987842572
"1301",38,"Ehime",5,2012,10249,689126,705635,1184972,0.014872461639816
"1302",38,"Ehime",4,2012,27308,689126,705635,1184972,0.039627005801552
"1303",38,"Ehime",31,2012,28702,689126,705635,1184972,0.041649857935994
"1304",38,"Ehime",24,2012,33745,689126,705635,1184972,0.048967823010596
"1305",38,"Ehime",3,2012,93061,689126,705635,1184972,0.135042067778607
"1306",38,"Ehime",2,2012,96808,689126,705635,1184972,0.140479389835821
"1307",38,"Ehime",30,2012,178754,689126,705635,1184972,0.259392331736141
"1308",38,"Ehime",1,2012,218085,689126,705635,1184972,0.316466074418902
"1309",18,"Fukui",98,2012,2076,390618,401062,649614,0.005314655238622
"1310",18,"Fukui",5,2012,6835,390618,401062,649614,0.017497913562611
"1311",18,"Fukui",31,2012,12893,390618,401062,649614,0.033006671479553
"1312",18,"Fukui",4,2012,14088,390618,401062,649614,0.036065926301399
"1313",18,"Fukui",24,2012,27632,390618,401062,649614,0.070739187646243
"1314",18,"Fukui",3,2012,31940,390618,401062,649614,0.081767865280146
"1315",18,"Fukui",2,2012,69021,390618,401062,649614,0.176696926408921
"1316",18,"Fukui",30,2012,79815,390618,401062,649614,0.204330061594704
"1317",18,"Fukui",1,2012,146318,390618,401062,649614,0.374580792487801
"1318",40,"Fukuoka",98,2012,11413,2297664,2357741,4112260,0.004967218879697
"1319",40,"Fukuoka",20,2012,15404,2297664,2357741,4112260,0.006704200440099
"1320",40,"Fukuoka",5,2012,61626,2297664,2357741,4112260,0.026821154006852
"1321",40,"Fukuoka",31,2012,81288,2297664,2357741,4112260,0.035378540987716
"1322",40,"Fukuoka",4,2012,132687,2297664,2357741,4112260,0.057748652544497
"1323",40,"Fukuoka",24,2012,182085,2297664,2357741,4112260,0.079247879585527
"1324",40,"Fukuoka",2,2012,332558,2297664,2357741,4112260,0.144737437675831
"1325",40,"Fukuoka",3,2012,384662,2297664,2357741,4112260,0.167414382607727
"1326",40,"Fukuoka",30,2012,448643,2297664,2357741,4112260,0.195260490654856
"1327",40,"Fukuoka",1,2012,647298,2297664,2357741,4112260,0.281720042617197
"1328",7,"Fukushima",98,2012,13039,919467,954024,1621015,0.01418104184272
"1329",7,"Fukushima",5,2012,34176,919467,954024,1621015,0.037169360074913
"1330",7,"Fukushima",4,2012,59335,919467,954024,1621015,0.064531951663301
"1331",7,"Fukushima",31,2012,66563,919467,954024,1621015,0.072393027699743
"1332",7,"Fukushima",24,2012,72392,919467,954024,1621015,0.078732570065049
"1333",7,"Fukushima",3,2012,85705,919467,954024,1621015,0.093211610639642
"1334",7,"Fukushima",30,2012,163861,919467,954024,1621015,0.178213029940172
"1335",7,"Fukushima",2,2012,185503,919467,954024,1621015,0.201750579411768
"1336",7,"Fukushima",1,2012,238893,919467,954024,1621015,0.259816828662693
"1337",21,"Gifu",98,2012,4956,1011583,1041212,1678226,0.004899251964495
"1338",21,"Gifu",5,2012,16612,1011583,1041212,1678226,0.016421786447578
"1339",21,"Gifu",4,2012,55754,1011583,1041212,1678226,0.055115596050942
"1340",21,"Gifu",31,2012,76254,1011583,1041212,1678226,0.07538086345856
"1341",21,"Gifu",24,2012,85482,1011583,1041212,1678226,0.084503199440876
"1342",21,"Gifu",3,2012,106511,1011583,1041212,1678226,0.105291409602573
"1343",21,"Gifu",2,2012,163661,1011583,1041212,1678226,0.161787020936493
"1344",21,"Gifu",30,2012,191770,1011583,1041212,1678226,0.18957416247604
"1345",21,"Gifu",1,2012,310583,1011583,1041212,1678226,0.307026709622443
"1346",10,"Gunma",98,2012,3143,906290,930153,1622565,0.003467984861358
"1347",10,"Gunma",5,2012,20683,906290,930153,1622565,0.022821613390857
"1348",10,"Gunma",4,2012,50461,906290,930153,1622565,0.055678645908043
"1349",10,"Gunma",31,2012,50874,906290,930153,1622565,0.056134349932141
"1350",10,"Gunma",24,2012,81354,906290,930153,1622565,0.089765968950336
"1351",10,"Gunma",3,2012,109837,906290,930153,1622565,0.121194099019078
"1352",10,"Gunma",2,2012,111070,906290,930153,1622565,0.122554590693928
"1353",10,"Gunma",30,2012,182350,906290,930153,1622565,0.201204912334904
"1354",10,"Gunma",1,2012,296518,906290,930153,1622565,0.327177834909356
"1355",34,"Hiroshima",98,2012,5016,1289320,1316774,2319885,0.003890422858561
"1356",34,"Hiroshima",5,2012,26669,1289320,1316774,2319885,0.020684546892936
"1357",34,"Hiroshima",4,2012,59892,1289320,1316774,2319885,0.046452393509757
"1358",34,"Hiroshima",31,2012,66752,1289320,1316774,2319885,0.051773027642478
"1359",34,"Hiroshima",24,2012,86935,1289320,1316774,2319885,0.06742701579127
"1360",34,"Hiroshima",3,2012,177173,1289320,1316774,2319885,0.137415847113207
"1361",34,"Hiroshima",2,2012,215012,1289320,1316774,2319885,0.166763875531288
"1362",34,"Hiroshima",30,2012,248277,1289320,1316774,2319885,0.192564297459126
"1363",34,"Hiroshima",1,2012,403594,1289320,1316774,2319885,0.313028573201377
"1364",1,"Hokkaido",98,2012,10506,2618464,2687031,4575652,0.004012275899153
"1365",1,"Hokkaido",5,2012,48351,2618464,2687031,4575652,0.018465405672944
"1366",1,"Hokkaido",31,2012,81838,2618464,2687031,4575652,0.031254200936121
"1367",1,"Hokkaido",24,2012,155522,2618464,2687031,4575652,0.059394362496487
"1368",1,"Hokkaido",4,2012,182968,2618464,2687031,4575652,0.069876080022487
"1369",1,"Hokkaido",3,2012,289011,2618464,2687031,4575652,0.110374249941951
"1370",1,"Hokkaido",30,2012,333760,2618464,2687031,4575652,0.127464039986801
"1371",1,"Hokkaido",22,2012,346848,2618464,2687031,4575652,0.132462390164616
"1372",1,"Hokkaido",2,2012,477356,2618464,2687031,4575652,0.1823038239212
"1373",1,"Hokkaido",1,2012,692304,2618464,2687031,4575652,0.264393170958241
"1374",28,"Hyogo",98,2012,9578,2606507,2660300,4541009,0.003674649636468
"1375",28,"Hyogo",5,2012,41557,2606507,2660300,4541009,0.015943559714208
"1376",28,"Hyogo",31,2012,113619,2606507,2660300,4541009,0.043590521721215
"1377",28,"Hyogo",4,2012,160439,2606507,2660300,4541009,0.061553258824933
"1378",28,"Hyogo",24,2012,195661,2606507,2660300,4541009,0.075066362760583
"1379",28,"Hyogo",3,2012,319927,2606507,2660300,4541009,0.122741661541672
"1380",28,"Hyogo",2,2012,365222,2606507,2660300,4541009,0.140119324444554
"1381",28,"Hyogo",1,2012,655008,2606507,2660300,4541009,0.251297234191199
"1382",28,"Hyogo",30,2012,745496,2606507,2660300,4541009,0.286013427165168
"1383",8,"Ibaraki",98,2012,4808,1387731,1424295,2420501,0.003464648408085
"1384",8,"Ibaraki",5,2012,23490,1387731,1424295,2420501,0.016926911627686
"1385",8,"Ibaraki",4,2012,61442,1387731,1424295,2420501,0.044275151308143
"1386",8,"Ibaraki",31,2012,76455,1387731,1424295,2420501,0.055093530374403
"1387",8,"Ibaraki",24,2012,134938,1387731,1424295,2420501,0.097236424062012
"1388",8,"Ibaraki",3,2012,188683,1387731,1424295,2420501,0.135965111394067
"1389",8,"Ibaraki",2,2012,217761,1387731,1424295,2420501,0.156918740015176
"1390",8,"Ibaraki",30,2012,249954,1387731,1424295,2420501,0.180117039973885
"1391",8,"Ibaraki",1,2012,430200,1387731,1424295,2420501,0.310002442836544
"1392",17,"Ishikawa",98,2012,2837,565056,582637,941028,0.005020741307056
"1393",17,"Ishikawa",5,2012,16673,565056,582637,941028,0.029506809944501
"1394",17,"Ishikawa",4,2012,23736,565056,582637,941028,0.042006455997282
"1395",17,"Ishikawa",31,2012,26430,565056,582637,941028,0.046774125042474
"1396",17,"Ishikawa",24,2012,34403,565056,582637,941028,0.060884230943482
"1397",17,"Ishikawa",3,2012,48983,565056,582637,941028,0.08668698323706
"1398",17,"Ishikawa",2,2012,91640,565056,582637,941028,0.162178615924793
"1399",17,"Ishikawa",30,2012,124559,565056,582637,941028,0.220436558500396
"1400",17,"Ishikawa",1,2012,195795,565056,582637,941028,0.346505479102956
"1401",3,"Iwate",98,2012,8311,644226,671241,1088422,0.012900752220494
"1402",3,"Iwate",5,2012,29228,644226,671241,1088422,0.045369171688196
"1403",3,"Iwate",24,2012,38065,644226,671241,1088422,0.059086407565047
"1404",3,"Iwate",4,2012,40896,644226,671241,1088422,0.063480828156579
"1405",3,"Iwate",3,2012,42479,644226,671241,1088422,0.065938040377135
"1406",3,"Iwate",30,2012,68275,644226,671241,1088422,0.105979889045149
"1407",3,"Iwate",2,2012,122501,644226,671241,1088422,0.190152213664149
"1408",3,"Iwate",31,2012,144396,644226,671241,1088422,0.224138733922568
"1409",3,"Iwate",1,2012,150075,644226,671241,1088422,0.232953963360684
"1410",37,"Kagawa",98,2012,2042,469914,486772,824554,0.004345475980711
"1411",37,"Kagawa",31,2012,12732,469914,486772,824554,0.0270943193861
"1412",37,"Kagawa",4,2012,18688,469914,486772,824554,0.039768979004669
"1413",37,"Kagawa",5,2012,21035,469914,486772,824554,0.044763509918836
"1414",37,"Kagawa",24,2012,23813,469914,486772,824554,0.05067522993569
"1415",37,"Kagawa",3,2012,60280,469914,486772,824554,0.128278791438433
"1416",37,"Kagawa",2,2012,83747,469914,486772,824554,0.17821771643322
"1417",37,"Kagawa",30,2012,88148,469914,486772,824554,0.187583259915644
"1418",37,"Kagawa",1,2012,159429,469914,486772,824554,0.339272717986695
"1419",46,"Kagoshima",98,2012,3811,768041,788950,1389355,0.004961974686247
"1420",46,"Kagoshima",20,2012,16809,768041,788950,1389355,0.021885550380774
"1421",46,"Kagoshima",5,2012,21711,768041,788950,1389355,0.028268022149859
"1422",46,"Kagoshima",31,2012,23170,768041,788950,1389355,0.030167660320217
"1423",46,"Kagoshima",4,2012,28428,768041,788950,1389355,0.037013649010925
"1424",46,"Kagoshima",24,2012,34791,768041,788950,1389355,0.045298362978018
"1425",46,"Kagoshima",2,2012,113008,768041,788950,1389355,0.147137978311054
"1426",46,"Kagoshima",3,2012,119318,768041,788950,1389355,0.155353685545433
"1427",46,"Kagoshima",30,2012,141842,768041,788950,1389355,0.184680244934841
"1428",46,"Kagoshima",1,2012,265153,768041,788950,1389355,0.345232871682632
"1429",14,"Kanagawa",98,2012,11621,4310283,4395166,7342072,0.002696110673011
"1430",14,"Kanagawa",5,2012,89144,4310283,4395166,7342072,0.020681704658372
"1431",14,"Kanagawa",4,2012,260109,4310283,4395166,7342072,0.060346153605227
"1432",14,"Kanagawa",31,2012,267519,4310283,4395166,7342072,0.062065298264638
"1433",14,"Kanagawa",3,2012,433970,4310283,4395166,7342072,0.100682484189553
"1434",14,"Kanagawa",24,2012,597468,4310283,4395166,7342072,0.13861456428731
"1435",14,"Kanagawa",2,2012,703165,4310283,4395166,7342072,0.163136620031678
"1436",14,"Kanagawa",30,2012,812282,4310283,4395166,7342072,0.188452127157312
"1437",14,"Kanagawa",1,2012,1135005,4310283,4395166,7342072,0.263324937132898
"1438",39,"Kochi",98,2012,1404,326394,339772,630554,0.004301549660839
"1439",39,"Kochi",5,2012,7314,326394,339772,630554,0.022408500156253
"1440",39,"Kochi",31,2012,11613,326394,339772,630554,0.035579698156216
"1441",39,"Kochi",24,2012,15968,326394,339772,630554,0.048922467937523
"1442",39,"Kochi",4,2012,41514,326394,339772,630554,0.127189838048494
"1443",39,"Kochi",2,2012,46384,326394,339772,630554,0.142110455461804
"1444",39,"Kochi",30,2012,51383,326394,339772,630554,0.157426300728567
"1445",39,"Kochi",3,2012,65119,326394,339772,630554,0.199510407666808
"1446",39,"Kochi",1,2012,85695,326394,339772,630554,0.262550782183496
"1447",43,"Kumamoto",98,2012,3614,832424,867009,1481444,0.004341537485704
"1448",43,"Kumamoto",20,2012,5531,832424,867009,1481444,0.006644450424303
"1449",43,"Kumamoto",31,2012,28364,832424,867009,1481444,0.034073981528644
"1450",43,"Kumamoto",5,2012,30679,832424,867009,1481444,0.036855016193671
"1451",43,"Kumamoto",4,2012,34880,832424,867009,1481444,0.041901723160313
"1452",43,"Kumamoto",24,2012,54334,832424,867009,1481444,0.065272024833498
"1453",43,"Kumamoto",2,2012,115778,832424,867009,1481444,0.139085369955696
"1454",43,"Kumamoto",3,2012,122721,832424,867009,1481444,0.147426071329034
"1455",43,"Kumamoto",30,2012,166266,832424,867009,1481444,0.199737153181552
"1456",43,"Kumamoto",1,2012,270257,832424,867009,1481444,0.324662671907586
"1457",26,"Kyoto",98,2012,4281,1191498,1218512,2091750,0.003592956093925
"1458",26,"Kyoto",5,2012,17170,1191498,1218512,2091750,0.014410431238659
"1459",26,"Kyoto",31,2012,61975,1191498,1218512,2091750,0.052014355038783
"1460",26,"Kyoto",24,2012,84319,1191498,1218512,2091750,0.070767219080519
"1461",26,"Kyoto",3,2012,117694,1191498,1218512,2091750,0.098778176715362
"1462",26,"Kyoto",4,2012,138376,1191498,1218512,2091750,0.116136158012854
"1463",26,"Kyoto",2,2012,178351,1191498,1218512,2091750,0.149686361202453
"1464",26,"Kyoto",30,2012,289667,1191498,1218512,2091750,0.24311161244081
"1465",26,"Kyoto",1,2012,299665,1191498,1218512,2091750,0.251502730176635
"1466",24,"Mie",98,2012,3841,893392,918279,1498408,0.004299344520658
"1467",24,"Mie",5,2012,16483,893392,918279,1498408,0.018449907767251
"1468",24,"Mie",31,2012,44923,893392,918279,1498408,0.050283638089439
"1469",24,"Mie",4,2012,46558,893392,918279,1498408,0.052113741784122
"1470",24,"Mie",24,2012,62491,893392,918279,1498408,0.069948018339094
"1471",24,"Mie",3,2012,111496,893392,918279,1498408,0.124800759353117
"1472",24,"Mie",30,2012,167617,893392,918279,1498408,0.187618648924548
"1473",24,"Mie",2,2012,194904,893392,918279,1498408,0.218161792359905
"1474",24,"Mie",1,2012,245079,893392,918279,1498408,0.274324148861866
"1475",4,"Miyagi",98,2012,13633,1022839,1047800,1897053,0.013328588370213
"1476",4,"Miyagi",5,2012,29668,1022839,1047800,1897053,0.029005542416744
"1477",4,"Miyagi",4,2012,63608,1022839,1047800,1897053,0.062187695228672
"1478",4,"Miyagi",31,2012,72572,1022839,1047800,1897053,0.070951537827556
"1479",4,"Miyagi",24,2012,89514,1022839,1047800,1897053,0.087515239446286
"1480",4,"Miyagi",3,2012,106063,1022839,1047800,1897053,0.103694716372762
"1481",4,"Miyagi",30,2012,173453,1022839,1047800,1897053,0.169579963220018
"1482",4,"Miyagi",2,2012,184870,1022839,1047800,1897053,0.180742032714826
"1483",4,"Miyagi",1,2012,289458,1022839,1047800,1897053,0.282994684402922
"1484",45,"Miyazaki",98,2012,1757,503914,516736,927973,0.003486706064924
"1485",45,"Miyazaki",20,2012,3034,503914,516736,927973,0.006020868640284
"1486",45,"Miyazaki",31,2012,16755,503914,516736,927973,0.033249721182583
"1487",45,"Miyazaki",24,2012,21324,503914,516736,927973,0.042316744523867
"1488",45,"Miyazaki",4,2012,23374,503914,516736,927973,0.046384899010546
